Toby Melcher  
Ray Marcotte  
Valentine Shryock  
Forrest Sigel  
Federico Faulks  
Teodoro Pedersen  
Nicolas Sleeman  
Harland Miler  
Anton Cedillo  
Christian Sanford  
Les Deluca  
Hyman Lott  
Errol Coddington  
Rudolph Steeves  
Guillermo Gartman  
Wm Staple  
Dudley Hisle  
Calvin Barstow  
Raymundo Larrison  
Conrad Yeadon  
Avery Salgado  
James Huges  
Rhett Dutra  
Theodore Jacox  
Bernie Shelly  
Clayton Shoemake  
Hubert Kentner  
Earle Stapleton  
Johnson Prendergast  
Marty Shine  
Willis Gallogly  
Alva Labelle  
Edward Luce  
Wendell Pricer  
Ernest Ing  
Mauricio Takemoto  
Trey Villela  
Rafael Barta  
Donald Mcgarry  
Wyatt Schunk  
Danial Mcelhannon  
Shirley Hellman  
Carrol Collier  
Vincent Prideaux  
Larry Rosol  
Hal Stubbs  
Von Degreenia  
Antwan Vanalstyne  
Milford Mcquillan  
Amos Gholston 
